Constituency,ConstituencyKey,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
DOMARIYAGANJ,60,JAGDAMBIKA PAL,BHARATIYA JANATA PARTY,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,SAMAJWADI PARTY,42728,Result Declared
DUM DUM,16,SOUGATA RAY,ALL INDIA TRINAMOOL CONGRESS,SILBHADRA DATTA,BHARATIYA JANATA PARTY,70660,Result Declared
DUMKA,2,NALIN SOREN,JHARKHAND MUKTI MORCHA,SITA MURMU,BHARATIYA JANATA PARTY,22527,Result Declared
ERODE,17,K E PRAKASH,DRAVIDA MUNNETRA KAZHAGAM,ASHOK KUMAR,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,236566,Result Declared
EAST DELHI,3,HARSH MALHOTRA,BHARATIYA JANATA PARTY,KULDEEP KUMAR (MONU),AAM AADMI PARTY,93663,Result Declared
ELURU,10,PUTTA MAHESH KUMAR,TELUGU DESAM,KARUMURI SUNIL KUMAR,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,181857,Result Declared
ERNAKULAM,12,HIBI EDEN,INDIAN NATIONAL CONGRESS,K. J. SHINE TEACHER,COMMUNIST PARTY OF INDIA (MARXIST),250385,Result Declared
ETAH,22,DEVESH SHAKYA,SAMAJWADI PARTY,RAJVEER SINGH (RAJU BHAIYA),BHARATIYA JANATA PARTY,28052,Result Declared
ETAWAH,41,JITENDRA KUMAR DOHARE,SAMAJWADI PARTY,DR RAM SHANKAR KATHERIA,BHARATIYA JANATA PARTY,58419,Result Declared
FARIDABAD,10,KRISHAN PAL,BHARATIYA JANATA PARTY,MAHENDER PRATAP SINGH,INDIAN NATIONAL CONGRESS,172914,Result Declared
FAIZABAD,54,AWADHESH PRASAD,SAMAJWADI PARTY,LALLU SINGH,BHARATIYA JANATA PARTY,54567,Result Declared
FARIDKOT,9,SARABJEET SINGH KHALSA,INDEPENDENT,KARAMJIT SINGH ANMOL,AAM AADMI PARTY,70053,Result Declared
FARRUKHABAD,40,MUKESH RAJPUT,BHARATIYA JANATA PARTY,DR. NAVAL KISHOR SHAKYA,SAMAJWADI PARTY,2678,Result Declared
FATEHGARH SAHIB,8,AMAR SINGH,INDIAN NATIONAL CONGRESS,GURPREET SINGH GP,AAM AADMI PARTY,34202,Result Declared
FATEHPUR,49,NARESH CHANDRA UTTAM PATEL,SAMAJWADI PARTY,NIRANJAN JYOTI,BHARATIYA JANATA PARTY,33199,Result Declared
FATEHPUR SIKRI,19,RAJKUMAR CHAHAR,BHARATIYA JANATA PARTY,RAMNATH SINGH SIKARWAR,INDIAN NATIONAL CONGRESS,43405,Result Declared
FIROZABAD,20,AKSHAYA YADAV,SAMAJWADI PARTY,VISHWADEEP SINGH,BHARATIYA JANATA PARTY,89312,Result Declared
FIROZPUR,10,SHER SINGH GHUBAYA,INDIAN NATIONAL CONGRESS,JAGDEEP SINGH KAKA BRAR,AAM AADMI PARTY,3242,Result Declared
GANGANAGAR,1,KULDEEP INDORA,INDIAN NATIONAL CONGRESS,PRIYANKA BALAN MEGHWAL,BHARATIYA JANATA PARTY,88153,Result Declared
GUNA,4,JYOTIRADITYA M. SCINDIA,BHARATIYA JANATA PARTY,YADVENDRA RAO DESHRAJ SINGH,INDIAN NATIONAL CONGRESS,540929,Result Declared
GURGAON,9,RAO INDERJIT SINGH,BHARATIYA JANATA PARTY,RAJ BABBAR,INDIAN NATIONAL CONGRESS,75079,Result Declared
GWALIOR,3,BHARAT SINGH KUSHWAH,BHARATIYA JANATA PARTY,PRAVEEN PATHAK,INDIAN NATIONAL CONGRESS,70210,Result Declared
GADCHIROLI - CHIMUR,12,DR. KIRSAN NAMDEO,INDIAN NATIONAL CONGRESS,ASHOK MAHADEORAO NETE,BHARATIYA JANATA PARTY,141696,Result Declared
GANDHINAGAR,6,AMIT SHAH,BHARATIYA JANATA PARTY,SONAL RAMANBHAI PATEL,INDIAN NATIONAL CONGRESS,744716,Result Declared
GARHWAL,2,ANIL BALUNI,BHARATIYA JANATA PARTY,GANESH GODIYAL,INDIAN NATIONAL CONGRESS,163503,Result Declared
GAUTAM BUDDHA NAGAR,13,DR. MAHESH SHARMA,BHARATIYA JANATA PARTY,DR. MAHENDRA SINGH NAGAR,SAMAJWADI PARTY,559472,Result Declared
GAYA,38,JITAN RAM MANJHI,HINDUSTANI AWAM MORCHA (SECULAR),KUMAR SARVJEET,RASHTRIYA JANATA DAL,101812,Result Declared
GHATAL,32,ADHIKARI DEEPAK (DEV),ALL INDIA TRINAMOOL CONGRESS,DR. HIRANMOY CHATTOPADHYAYA,BHARATIYA JANATA PARTY,182868,Result Declared
GHAZIABAD,12,ATUL GARG,BHARATIYA JANATA PARTY,DOLLY SHARMA,INDIAN NATIONAL CONGRESS,336965,Result Declared
GHAZIPUR,75,AFZAL ANSARI,SAMAJWADI PARTY,PARS NATH RAI,BHARATIYA JANATA PARTY,124861,Result Declared
GHOSI,70,RAJEEV RAI,SAMAJWADI PARTY,DR. ARVIND RAJBHAR,SUHELDEV BHARATIYA SAMAJ PARTY,162943,Result Declared
GIRIDIH,6,CHANDRA PRAKASH CHOUDHARY,AJSU PARTY,MATHURA PRASAD MAHATO,JHARKHAND MUKTI MORCHA,80880,Result Declared
GODDA,3,NISHIKANT DUBEY,BHARATIYA JANATA PARTY,PRADEEP YADAV,INDIAN NATIONAL CONGRESS,101813,Result Declared
GONDA,59,KIRTIVARDHAN SINGH,BHARATIYA JANATA PARTY,SHREYA VERMA,SAMAJWADI PARTY,46224,Result Declared
GOPALGANJ,17,DR. ALOK KUMAR SUMAN,JANATA DAL (UNITED),PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,VIKASSHEEL INSAAN PARTY,127180,Result Declared
GORAKHPUR,64,RAVINDRA SHUKLA ALIAS RAVI KISHAN,BHARATIYA JANATA PARTY,KAJAL NISHAD,SAMAJWADI PARTY,103526,Result Declared
GULBARGA,5,RADHAKRISHNA,INDIAN NATIONAL CONGRESS,DR. UMESH G JADHAV,BHARATIYA JANATA PARTY,27205,Result Declared
GUNTUR,13,DR CHANDRA SEKHAR PEMMASANI,TELUGU DESAM,KILARI VENKATA ROSAIAH,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,344695,Result Declared
GURDASPUR,1,SUKHJINDER SINGH RANDHAWA,INDIAN NATIONAL CONGRESS,DINESH SINGH BABBU,BHARATIYA JANATA PARTY,82861,Result Declared
GUWAHATI,5,BIJULI KALITA MEDHI,BHARATIYA JANATA PARTY,MIRA BORTHAKUR GOSWAMI,INDIAN NATIONAL CONGRESS,251090,Result Declared
HAMIRPUR,3,ANURAG SINGH THAKUR,BHARATIYA JANATA PARTY,SATPAL RAIZADA,INDIAN NATIONAL CONGRESS,182357,Result Declared
HISAR,4,JAI PARKASH (J P) S/O HARIKESH,INDIAN NATIONAL CONGRESS,RANJIT SINGH,BHARATIYA JANATA PARTY,63381,Result Declared
HOSHANGABAD,17,DARSHAN SINGH CHOUDHARY,BHARATIYA JANATA PARTY,SANJAY SHARMA SANJU BHAIYA,INDIAN NATIONAL CONGRESS,431696,Result Declared
HAJIPUR,21,CHIRAG PASWAN,LOK JANSHAKTI PARTY(RAM VILAS),SHIV CHANDRA RAM,RASHTRIYA JANATA DAL,170105,Result Declared
HAMIRPUR,47,AJENDRA SINGH LODHI,SAMAJWADI PARTY,KUNWAR PUSHPENDRA SINGH CHANDEL,BHARATIYA JANATA PARTY,2629,Result Declared
HARDOI,31,JAI PRAKASH,BHARATIYA JANATA PARTY,USHA VERMA,SAMAJWADI PARTY,27856,Result Declared
HARIDWAR,5,TRIVENDRA SINGH RAWAT,BHARATIYA JANATA PARTY,VIRENDRA RAWAT,INDIAN NATIONAL CONGRESS,164056,Result Declared
HASSAN,16,SHREYAS. M. PATEL,INDIAN NATIONAL CONGRESS,PRAJWAL REVANNA,JANATA DAL (SECULAR),42649,Result Declared
HATHRAS,16,ANOOP PRADHAN BALMIKI,BHARATIYA JANATA PARTY,JASVEER VALMIKI,SAMAJWADI PARTY,247318,Result Declared
HATKANANGALE,48,DHAIRYASHEEL SAMBHAJIRAO MANE,SHIV SENA,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,SHIV SENA (UDDHAV BALASAHEB THACKREY),13426,Result Declared
HAVERI,10,BASAVARAJ BOMMAI,BHARATIYA JANATA PARTY,ANANDSWAMY GADDADEVARMATH,INDIAN NATIONAL CONGRESS,43513,Result Declared
HAZARIBAGH,14,MANISH JAISWAL,BHARATIYA JANATA PARTY,JAI PRAKASH BHAI PATEL,INDIAN NATIONAL CONGRESS,276686,Result Declared
HINDUPUR,20,B K PARTHASARATHI,TELUGU DESAM,J SHANTHA,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,132427,Result Declared
HINGOLI,15,AASHTIKAR PATIL NAGESH BAPURAO,SHIV SENA (UDDHAV BALASAHEB THACKREY),BABURAO KADAM KOHALIKAR,SHIV SENA,108602,Result Declared
HOOGHLY,28,RACHNA BANERJEE,ALL INDIA TRINAMOOL CONGRESS,LOCKET CHATTERJEE,BHARATIYA JANATA PARTY,76853,Result Declared
HOSHIARPUR,5,DR. RAJ KUMAR CHABBEWAL,AAM AADMI PARTY,YAMINI GOMAR,INDIAN NATIONAL CONGRESS,44111,Result Declared
HOWRAH,25,PRASUN BANERJEE,ALL INDIA TRINAMOOL CONGRESS,DR RATHIN CHAKRAVARTY,BHARATIYA JANATA PARTY,169442,Result Declared
HYDERABAD,9,ASADUDDIN OWAISI,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN,MADHAVI LATHA KOMPELLA,BHARATIYA JANATA PARTY,338087,Result Declared
INDORE,26,SHANKAR LALWANI,BHARATIYA JANATA PARTY,SANJAY S/O LAKSHMAN SOLANKI,BAHUJAN SAMAJ PARTY,1175092,Result Declared
IDUKKI,13,ADV. DEAN KURIAKOSE,INDIAN NATIONAL CONGRESS,ADV. JOICE GEORGE,COMMUNIST PARTY OF INDIA (MARXIST),133727,Result Declared
INNER MANIPUR,1,ANGOMCHA BIMOL AKOIJAM,INDIAN NATIONAL CONGRESS,THOUNAOJAM BASANTA KUMAR SINGH,BHARATIYA JANATA PARTY,109801,Result Declared
JABALPUR,13,ASHISH DUBEY,BHARATIYA JANATA PARTY,DINESH YADAV,INDIAN NATIONAL CONGRESS,486674,Result Declared
JAIPUR,7,MANJU SHARMA,BHARATIYA JANATA PARTY,PRATAP SINGH KHACHARIYAWAS,INDIAN NATIONAL CONGRESS,331767,Result Declared
JAIPUR RURAL,6,RAO RAJENDRA SINGH,BHARATIYA JANATA PARTY,ANIL CHOPRA,INDIAN NATIONAL CONGRESS,1615,Result Declared
JALORE,18,LUMBARAM,BHARATIYA JANATA PARTY,VAIBHAV GEHLOT,INDIAN NATIONAL CONGRESS,201543,Result Declared
JAMMU,5,JUGAL KISHORE,BHARATIYA JANATA PARTY,RAMAN BHALLA,INDIAN NATIONAL CONGRESS,135498,Result Declared
JANJGIR-CHAMPA,3,KAMLESH JANGDE,BHARATIYA JANATA PARTY,DR. SHIVKUMAR DAHARIYA,INDIAN NATIONAL CONGRESS,60000,Result Declared
JHALAWAR-BARAN,25,DUSHYANT SINGH,BHARATIYA JANATA PARTY,URMILA JAIN “BHAYA”,INDIAN NATIONAL CONGRESS,370989,Result Declared
JHUNJHUNU,4,BRIJENDRA SINGH OLA,INDIAN NATIONAL CONGRESS,SHUBHKARAN CHOUDHARY,BHARATIYA JANATA PARTY,18235,Result Declared
JODHPUR,16,GAJENDRA SINGH SHEKHAWAT,BHARATIYA JANATA PARTY,KARAN SINGH UCHIYARDA,INDIAN NATIONAL CONGRESS,115677,Result Declared
JADAVPUR,22,SAYANI GHOSH,ALL INDIA TRINAMOOL CONGRESS,DR. ANIRBAN GANGULY,BHARATIYA JANATA PARTY,258201,Result Declared
JAGATSINGHPUR,16,BIBHU PRASAD TARAI,BHARATIYA JANATA PARTY,DR. RAJASHREE MALLICK,BIJU JANATA DAL,40696,Result Declared
JAHANABAD,36,SURENDRA PRASAD YADAV,RASHTRIYA JANATA DAL,CHANDESHWAR PRASAD,JANATA DAL (UNITED),142591,Result Declared
JAJPUR,8,RABINDRA NARAYAN BEHERA,BHARATIYA JANATA PARTY,SARMISTHA SETHI,BIJU JANATA DAL,1587,Result Declared
JALANDHAR,4,CHARANJIT SINGH CHANNI,INDIAN NATIONAL CONGRESS,SUSHIL KUMAR RINKU,BHARATIYA JANATA PARTY,175993,Result Declared
JALAUN,45,NARAYAN DAS AHIRWAR,SAMAJWADI PARTY,BHANU PRATAP SINGH VERMA,BHARATIYA JANATA PARTY,53898,Result Declared
JALGAON,3,SMITA UDAY WAGH,BHARATIYA JANATA PARTY,KARAN BALASAHEB PATIL - PAWAR,SHIV SENA (UDDHAV BALASAHEB THACKREY),251594,Result Declared
JALNA,18,KALYAN VAIJINATHRAO KALE,INDIAN NATIONAL CONGRESS,DANVE RAOSAHEB DADARAO,BHARATIYA JANATA PARTY,109958,Result Declared
JALPAIGURI,3,DR JAYANTA KUMAR ROY,BHARATIYA JANATA PARTY,NIRMAL CHANDRA ROY,ALL INDIA TRINAMOOL CONGRESS,86693,Result Declared
JAMNAGAR,12,POONAMBEN HEMATBHAI MAADAM,BHARATIYA JANATA PARTY,ADVOCATE J. P. MARAVIYA,INDIAN NATIONAL CONGRESS,238008,Result Declared
JAMSHEDPUR,9,BIDYUT BARAN MAHATO,BHARATIYA JANATA PARTY,SAMIR KUMAR MOHANTY,JHARKHAND MUKTI MORCHA,259782,Result Declared
JAMUI,40,ARUN BHARTI,LOK JANSHAKTI PARTY(RAM VILAS),ARCHANA KUMARI,RASHTRIYA JANATA DAL,112482,Result Declared
JANGIPUR,9,KHALILUR RAHAMAN,ALL INDIA TRINAMOOL CONGRESS,MURTOJA HOSSAIN BOKUL,INDIAN NATIONAL CONGRESS,116637,Result Declared
JAUNPUR,73,BABU SINGH KUSHWAHA,SAMAJWADI PARTY,KRIPASHANKAR SINGH,BHARATIYA JANATA PARTY,99335,Result Declared
JHANJHARPUR,7,RAMPRIT MANDAL,JANATA DAL (UNITED),SUMAN KUMAR MAHASETH,VIKASSHEEL INSAAN PARTY,184169,Result Declared
JHANSI,46,ANURAG SHARMA,BHARATIYA JANATA PARTY,"PRADEEP JAIN ""ADITYA""",INDIAN NATIONAL CONGRESS,102614,Result Declared
JHARGRAM,33,KALIPADA SAREN (KHERWAL),ALL INDIA TRINAMOOL CONGRESS,DR. PRANAT TUDU,BHARATIYA JANATA PARTY,174048,Result Declared
JORHAT,14,GAURAV GOGOI,INDIAN NATIONAL CONGRESS,TOPON KUMAR GOGOI,BHARATIYA JANATA PARTY,144393,Result Declared
JOYNAGAR,19,PRATIMA MONDAL,ALL INDIA TRINAMOOL CONGRESS,ASHOK KANDARY,BHARATIYA JANATA PARTY,470219,Result Declared
JUNAGADH,13,CHUDASAMA RAJESHBHAI NARANBHAI,BHARATIYA JANATA PARTY,JOTVA HIRABHAI ARJANBHAI,INDIAN NATIONAL CONGRESS,135494,Result Declared
KALLAKURICHI,14,MALAIYARASAN D,DRAVIDA MUNNETRA KAZHAGAM,KUMARAGURU R,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,53784,Result Declared
KANCHEEPURAM,6,SELVAM. G,DRAVIDA MUNNETRA KAZHAGAM,RAJASEKAR. E,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,221473,Result Declared
KANGRA,1,DR RAJEEV BHARDWAJ,BHARATIYA JANATA PARTY,ANAND SHARMA,INDIAN NATIONAL CONGRESS,251895,Result Declared
KANKER,11,BHOJRAJ NAG,BHARATIYA JANATA PARTY,BIRESH THAKUR,INDIAN NATIONAL CONGRESS,1884,Result Declared
KANNIYAKUMARI,39,VIJAYAKUMAR (ALIAS) VIJAY VASANTH,INDIAN NATIONAL CONGRESS,RADHAKRISHNAN P,BHARATIYA JANATA PARTY,179907,Result Declared
KARAULI-DHOLPUR,10,BHAJAN LAL JATAV,INDIAN NATIONAL CONGRESS,INDU DEVI,BHARATIYA JANATA PARTY,98945,Result Declared
KARNAL,5,MANOHAR LAL,BHARATIYA JANATA PARTY,DIVYANSHU BUDHIRAJA,INDIAN NATIONAL CONGRESS,232577,Result Declared
KARUR,23,JOTHIMANI. S,INDIAN NATIONAL CONGRESS,THANGAVEL. L,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,166816,Result Declared
KHAJURAHO,8,VISHNU DATT SHARMA (V.D.SHARMA),BHARATIYA JANATA PARTY,KAMLESH KUMAR,BAHUJAN SAMAJ PARTY,541229,Result Declared
KHANDWA,28,GYANESHWAR PATIL,BHARATIYA JANATA PARTY,NARENDRA PATEL,INDIAN NATIONAL CONGRESS,269971,Result Declared
KHARGONE,27,GAJENDRA SINGH PATEL,BHARATIYA JANATA PARTY,PORLAL BATHA KHARTE,INDIAN NATIONAL CONGRESS,135018,Result Declared
KORBA,4,JYOTSNA CHARANDAS MAHANT,INDIAN NATIONAL CONGRESS,SAROJ PANDEY,BHARATIYA JANATA PARTY,43283,Result Declared
KOTA,24,OM BIRLA,BHARATIYA JANATA PARTY,PRAHLAD GUNJAL,INDIAN NATIONAL CONGRESS,41974,Result Declared
KRISHNAGIRI,9,GOPINATH K,INDIAN NATIONAL CONGRESS,JAYAPRAKASH V,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,192486,Result Declared
KURUKSHETRA,2,NAVEEN JINDAL,BHARATIYA JANATA PARTY,DR SUSHIL GUPTA,AAM AADMI PARTY,29021,Result Declared
KACHCHH,1,CHAVDA VINOD LAKHAMSHI,BHARATIYA JANATA PARTY,NITESH PARBATBHAI LALAN (MATANG),INDIAN NATIONAL CONGRESS,268782,Result Declared
KADAPA,21,Y. S. AVINASH REDDY,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,TELUGU DESAM,62695,Result Declared
KAIRANA,2,IQRA CHOUDHARY,SAMAJWADI PARTY,PRADEEP KUMAR,BHARATIYA JANATA PARTY,69116,Result Declared
KAISERGANJ,57,KARAN BHUSHAN SINGH,BHARATIYA JANATA PARTY,BHAGAT RAM,SAMAJWADI PARTY,148843,Result Declared
KAKINADA,6,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),JANASENA PARTY,CHALAMALASETTY SUNIL,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,229491,Result Declared
KALAHANDI,11,MALVIKA DEVI,BHARATIYA JANATA PARTY,LAMBODAR NIAL,BIJU JANATA DAL,133813,Result Declared
KALYAN,24,DR SHRIKANT EKNATH SHINDE,SHIV SENA,VAISHALI DAREKAR - RANE,SHIV SENA (UDDHAV BALASAHEB THACKREY),209144,Result Declared
KANDHAMAL,13,SUKANTA KUMAR PANIGRAHI,BHARATIYA JANATA PARTY,ACHYUTANANDA SAMANTA,BIJU JANATA DAL,21371,Result Declared
KANNAUJ,42,AKHILESH YADAV,SAMAJWADI PARTY,SUBRAT PATHAK,BHARATIYA JANATA PARTY,170922,Result Declared
KANNUR,2,K. SUDHAKARAN,INDIAN NATIONAL CONGRESS,M.V. JAYARAJAN,COMMUNIST PARTY OF INDIA (MARXIST),108982,Result Declared
KANPUR,43,RAMESH AWASTHI,BHARATIYA JANATA PARTY,ALOK MISRA,INDIAN NATIONAL CONGRESS,20968,Result Declared
KANTHI,31,ADHIKARI SOUMENDU,BHARATIYA JANATA PARTY,UTTAM BARIK SON OF LATE BIRENDRA BARIK,ALL INDIA TRINAMOOL CONGRESS,47764,Result Declared
KARAKAT,35,RAJA RAM SINGH,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION),PAWAN SINGH,INDEPENDENT,105858,Result Declared
KARIMGANJ,7,KRIPANATH MALLAH,BHARATIYA JANATA PARTY,HAFIZ RASHID AHMED CHOUDHURY,INDIAN NATIONAL CONGRESS,18360,Result Declared
KARIMNAGAR,3,BANDI SANJAY KUMAR,BHARATIYA JANATA PARTY,VELCHALA RAJENDER RAO,INDIAN NATIONAL CONGRESS,225209,Result Declared
KASARAGOD,1,RAJMOHAN UNNITHAN,INDIAN NATIONAL CONGRESS,M.V BALAKRISHNAN MASTER,COMMUNIST PARTY OF INDIA (MARXIST),100649,Result Declared
KATIHAR,11,TARIQ ANWAR,INDIAN NATIONAL CONGRESS,DULAL CHANDRA GOSWAMI,JANATA DAL (UNITED),49863,Result Declared
KAUSHAMBI,50,PUSHPENDRA SAROJ,SAMAJWADI PARTY,VINOD KUMAR SONKAR,BHARATIYA JANATA PARTY,103944,Result Declared
KAZIRANGA,10,KAMAKHYA PRASAD TASA,BHARATIYA JANATA PARTY,ROSELINA TIRKEY,INDIAN NATIONAL CONGRESS,248947,Result Declared
KENDRAPARA,15,BAIJAYANT PANDA,BHARATIYA JANATA PARTY,ANSHUMAN MOHANTY,BIJU JANATA DAL,66536,Result Declared
KEONJHAR,4,ANANTA NAYAK,BHARATIYA JANATA PARTY,DHANURJAYA SIDU,BIJU JANATA DAL,97042,Result Declared
KHADOOR SAHIB,3,AMRITPAL SINGH,INDEPENDENT,KULBIR SINGH ZIRA,INDIAN NATIONAL CONGRESS,197120,Result Declared
KHAGARIA,25,RAJESH VERMA,LOK JANSHAKTI PARTY(RAM VILAS),SANJAY KUMAR,COMMUNIST PARTY OF INDIA (MARXIST),161131,Result Declared
KHAMMAM,17,RAMASAHAYAM RAGHURAM REDDY,INDIAN NATIONAL CONGRESS,NAMA NAGESWARA RAO,BHARAT RASHTRA SAMITH,467847,Result Declared
KHEDA,17,DEVUSINH CHAUHAN,BHARATIYA JANATA PARTY,KALUSINH DABHI,INDIAN NATIONAL CONGRESS,357758,Result Declared
KHERI,28,UTKARSH VERMA 'MADHUR',SAMAJWADI PARTY,AJAY KUMAR,BHARATIYA JANATA PARTY,34329,Result Declared
KHUNTI,11,KALI CHARAN MUNDA,INDIAN NATIONAL CONGRESS,ARJUN MUNDA,BHARATIYA JANATA PARTY,149675,Result Declared
KISHANGANJ,10,MOHAMMAD JAWED,INDIAN NATIONAL CONGRESS,MUJAHID ALAM,JANATA DAL (UNITED),59692,Result Declared
KODARMA,5,ANNPURNA DEVI,BHARATIYA JANATA PARTY,VINOD KUMAR SINGH,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION),377014,Result Declared
KOKRAJHAR,1,JOYANTA BASUMATARY,"UNITED PEOPLE’S PARTY, LIBERAL",KAMPA BORGOYARI,BODOLAND PEOPLES FRONT,51583,Result Declared
KOLAR,28,M. MALLESH BABU,JANATA DAL (SECULAR),K V GOWTHAM,INDIAN NATIONAL CONGRESS,71388,Result Declared
KOLHAPUR,47,CHHATRAPATI SHAHU SHAHAJI,INDIAN NATIONAL CONGRESS,SANJAY SADASHIVRAO MANDLIK,SHIV SENA,154964,Result Declared
KOLKATA DAKSHIN,23,MALA ROY,ALL INDIA TRINAMOOL CONGRESS,DEBASREE CHAUDHURI,BHARATIYA JANATA PARTY,187231,Result Declared
KOLKATA UTTAR,24,BANDYOPADHYAY SUDIP,ALL INDIA TRINAMOOL CONGRESS,TAPAS ROY,BHARATIYA JANATA PARTY,92560,Result Declared
KOLLAM,18,N K PREMACHANDRAN,REVOLUTIONARY SOCIALIST PARTY,M MUKESH,COMMUNIST PARTY OF INDIA (MARXIST),150302,Result Declared
KOPPAL,8,K. RAJASHEKAR BASAVARAJ HITNAL,INDIAN NATIONAL CONGRESS,DR . BASAVARAJ. K. SHARANAPPA,BHARATIYA JANATA PARTY,46357,Result Declared
KORAPUT,21,SAPTAGIRI SANKAR ULAKA,INDIAN NATIONAL CONGRESS,KAUSALYA HIKAKA,BIJU JANATA DAL,147744,Result Declared
KOTTAYAM,14,ADV K FRANCIS GEORGE,KERALA CONGRESS,THOMAS CHAZHIKADAN,KERALA CONGRESS (M),87266,Result Declared
KOZHIKODE,5,M. K. RAGHAVAN,INDIAN NATIONAL CONGRESS,ELAMARAM KAREEM,COMMUNIST PARTY OF INDIA (MARXIST),146176,Result Declared
KRISHNANAGAR,12,MAHUA MOITRA,ALL INDIA TRINAMOOL CONGRESS,AMRITA ROY,BHARATIYA JANATA PARTY,56705,Result Declared
KURNOOLU,18,BASTIPATI NAGARAJU PANCHALINGALA,TELUGU DESAM,B Y RAMAIAH,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,111298,Result Declared
KUSHI NAGAR,65,VIJAY KUMAR DUBAY,BHARATIYA JANATA PARTY,AJAY PRATAP SINGH URF PINTU SAITHWAR,SAMAJWADI PARTY,81790,Result Declared
LADAKH,1,MOHMAD HANEEFA,INDEPENDENT,TSERING NAMGYAL,INDIAN NATIONAL CONGRESS,27862,Result Declared
LAKHIMPUR,12,PRADAN BARUAH,BHARATIYA JANATA PARTY,UDAY SHANKAR HAZARIKA,INDIAN NATIONAL CONGRESS,201257,Result Declared
LAKSHADWEEP,1,MUHAMMED HAMDULLAH SAYEED,INDIAN NATIONAL CONGRESS,MOHAMMED FAIZAL PP,NATIONALIST CONGRESS PARTY – SHARADCHANDRA PAWAR,2647,Result Declared
LALGANJ,68,DAROGA PRASAD SAROJ,SAMAJWADI PARTY,NEELAM SONKER,BHARATIYA JANATA PARTY,115023,Result Declared
LATUR,41,DR. KALGE SHIVAJI BANDAPPA,INDIAN NATIONAL CONGRESS,SUDHAKAR TUKARAM SHRANGARE,BHARATIYA JANATA PARTY,61881,Result Declared
LOHARDAGA,12,SUKHDEO BHAGAT,INDIAN NATIONAL CONGRESS,SAMIR ORAON,BHARATIYA JANATA PARTY,139138,Result Declared
LUCKNOW,35,RAJ NATH SINGH,BHARATIYA JANATA PARTY,RAVIDAS MEHROTRA,SAMAJWADI PARTY,135159,Result Declared
LUDHIANA,7,AMRINDER SINGH RAJA WARRING,INDIAN NATIONAL CONGRESS,RAVNEET SINGH BITTU,BHARATIYA JANATA PARTY,20942,Result Declared
MADURAI,32,VENKATESAN S,COMMUNIST PARTY OF INDIA (MARXIST),RAAMA SREENIVASAN,BHARATIYA JANATA PARTY,209409,Result Declared
MAHASAMUND,9,ROOP KUMARI CHOUDHARY,BHARATIYA JANATA PARTY,TAMRADHWAJ SAHU,INDIAN NATIONAL CONGRESS,145456,Result Declared
MANDI,2,KANGNA RANAUT,BHARATIYA JANATA PARTY,VIKRAMADITYA SINGH,INDIAN NATIONAL CONGRESS,74755,Result Declared
MANDLA,14,FAGGAN SINGH KULASTE,BHARATIYA JANATA PARTY,OMKAR SINGH MARKAM,INDIAN NATIONAL CONGRESS,103846,Result Declared
MANDSOUR,23,SUDHEER GUPTA,BHARATIYA JANATA PARTY,DILIP SINGH GURJAR,INDIAN NATIONAL CONGRESS,500655,Result Declared
MAYILADUTHURAI,28,SUDHA R,INDIAN NATIONAL CONGRESS,BABU P,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,271183,Result Declared
MIZORAM,1,RICHARD VANLALHMANGAIHA,ZORAM PEOPLE’S MOVEMENT,K VANLALVENA,MIZO NATIONAL FRONT,68288,Result Declared
MORENA,1,SHIVMANGAL SINGH TOMAR,BHARATIYA JANATA PARTY,NEETU SATYAPAL SINGH SIKARWAR,INDIAN NATIONAL CONGRESS,52530,Result Declared
MACHHLISHAHR,74,PRIYA SAROJ,SAMAJWADI PARTY,BHOLANATH (B.P. SAROJ),BHARATIYA JANATA PARTY,35850,Result Declared
MACHILIPATNAM,11,BALASHOWRY VALLABHANENI,JANASENA PARTY,SIMHADRI CHANDRA SEKHAR RAO,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,223179,Result Declared
